Type,subType,stock_number,flavType,item_name,description,rmcPerLitre,bottleSize,rmcPerBottle,addRaw,costBottle
Product,CBD,CP51025M06,Fruit,Apple - 1000mg,CBD with fresh and crisp green apple with sweet-tart undertones,£26.46,60,1.587820434,£0.40,£1.98
Product,CBD,CP51025M26,Fruit,Apple - 2000mg,CBD with fresh and crisp green apple with sweet-tart undertones,£48.55,60,2.912767434,£0.40,£3.31
Product,CBD,CP51025D06,Fruit,Apple - 500mg,CBD with fresh and crisp green apple with sweet-tart undertones,£15.42,60,0.925267434,£0.40,£1.32
Product,CBD,CP51385M06,Ice,Blue Dreams - 1000mg,CBD with a strong hit of dark berry and candy berry fruits with a blast of cold menthol and aniseed.,£29.80,60,1.787980095,£0.40,£2.18
Product,CBD,CP51385M26,Ice,Blue Dreams - 2000mg,CBD with a strong hit of dark berry and candy berry fruits with a blast of cold menthol and aniseed.,£51.88,60,3.112927095,£0.40,£3.51
Product,CBD,CP51385D06,Ice,Blue Dreams - 500mg,CBD with a strong hit of dark berry and candy berry fruits with a blast of cold menthol and aniseed.,£18.76,60,1.125427095,£0.40,£1.52
Product,CBD,CP51060M06,Fruit,Forest Fruits - 1000mg,CBD with sweet and tangy berries with the fresh bite of green apples.,£25.94,60,1.55643027,£0.40,£1.95
Product,CBD,CP51060M26,Fruit,Forest Fruits - 2000mg,CBD with sweet and tangy berries with the fresh bite of green apples.,£48.02,60,2.88137727,£0.40,£3.28
Product,CBD,CP51060D06,Fruit,Forest Fruits - 500mg,CBD with sweet and tangy berries with the fresh bite of green apples.,£14.90,60,0.89387727,£0.40,£1.29
Product,CBD,CP51373M06,Fruit,Grandaddy Purple - 1000mg,CBD with sweet and juicy black grape with a touch of fizz,£24.54,60,1.47259236,£0.40,£1.87
Product,CBD,CP51373M26,Fruit,Grandaddy Purple - 2000mg,CBD with sweet and juicy black grape with a touch of fizz,£46.63,60,2.79753936,£0.40,£3.19
Product,CBD,CP51373D06,Fruit,Grandaddy Purple - 500mg,CBD with sweet and juicy black grape with a touch of fizz,£13.50,60,0.81003936,£0.40,£1.21
Product,CBD,CP51384M06,Dessert,Lemon Haze - 1000mg,CBD with tangy lemon curd with a flaky biscuit crust finished with a rich vanilla cream,£29.51,60,1.770623243,£0.40,£2.17
Product,CBD,CP51384M26,Dessert,Lemon Haze - 2000mg,CBD with tangy lemon curd with a flaky biscuit crust finished with a rich vanilla cream,£51.59,60,3.095570243,£0.40,£3.49
Product,CBD,CP51384D06,Dessert,Lemon Haze - 500mg,CBD with tangy lemon curd with a flaky biscuit crust finished with a rich vanilla cream,£18.47,60,1.108070243,£0.40,£1.50
Product,CBD,CP51383M06,Fruit,Mango Kush - 1000mg,CBD with ripe and super juicy mango with a smooth tropical finish.,£37.22,60,2.23346988,£0.40,£2.63
Product,CBD,CP51383M26,Fruit,Mango Kush - 2000mg,CBD with ripe and super juicy mango with a smooth tropical finish.,£59.31,60,3.55841688,£0.40,£3.95
Product,CBD,CP51383D06,Fruit,Mango Kush - 500mg,CBD with ripe and super juicy mango with a smooth tropical finish.,£26.18,60,1.57091688,£0.40,£1.97
Product,CBD,CP51059M06,Mint,Menthol - 1000mg,"CBD with clean, simple and cold no fuss menthol.",£24.69,60,1.481301255,£0.40,£1.88
Product,CBD,CP51059M26,Mint,Menthol - 2000mg,"CBD with clean, simple and cold no fuss menthol.",£46.77,60,2.806248255,£0.40,£3.20
Product,CBD,CP51059D06,Mint,Menthol - 500mg,"CBD with clean, simple and cold no fuss menthol.",£13.65,60,0.818748255,£0.40,£1.21
Product,CBD,CP51372M06,Fruit,Raspberry Moonshine - 1000mg,"CBD with Sweet, tangy and ripe raspberry, with a fruity sweet exhale",£24.51,60,1.47078276,£0.40,£1.87
Product,CBD,CP51372M26,Fruit,Raspberry Moonshine - 2000mg,"CBD with Sweet, tangy and ripe raspberry, with a fruity sweet exhale",£46.60,60,2.79572976,£0.40,£3.19
Product,CBD,CP51372D06,Fruit,Raspberry Moonshine - 500mg,"CBD with Sweet, tangy and ripe raspberry, with a fruity sweet exhale",£13.47,60,0.80822976,£0.40,£1.20
Product,CBD,CP51382M06,Ice,Red Dragon - 1000mg,"CBD with sweet red berry fruits, mixed with a stunning eucalyptus menthol and a touch of aniseed.",£29.95,60,1.797151238,£0.40,£2.19
Product,CBD,CP51382M26,Ice,Red Dragon - 2000mg,"CBD with sweet red berry fruits, mixed with a stunning eucalyptus menthol and a touch of aniseed.",£52.03,60,3.122098238,£0.40,£3.52
Product,CBD,CP51382D06,Ice,Red Dragon - 500mg,"CBD with sweet red berry fruits, mixed with a stunning eucalyptus menthol and a touch of aniseed.",£18.91,60,1.134598238,£0.40,£1.53
Product,CBD,CP50000M06,None,Unflavoured - 1000mg,Unflavoured,£24.41,60,1.46451,£0.40,£1.86
Product,CBD,CP50000M26,None,Unflavoured - 2000mg,Unflavoured,£46.49,60,2.789457,£0.40,£3.19
Product,CBD,CP50000D06,None,Unflavoured - 500mg,Unflavoured,£13.37,10,0.1336595,£0.17,£0.30
Product,Free Base,P1000000,None,100% PG Nicotine Free Shot - PG - 0mg,Unflavoured,£3.09,10,0.0308945,£0.17,£0.20
Product,Free Base,P1000018,None,100% PG Nicotine Shot - PG - 18mg,Unflavoured,£5.52,10,0.05519504,£0.17,£0.22
Product,Free Base,P1000009,None,100% PG Nicotine Shot - PG - 9mg,Unflavoured,£4.30,10,0.04304477,£0.17,£0.21
Product,Free Base,V1000000,None,100% VG Nicotine Free Shot - VG - 0mg,Unflavoured,£1.56,10,0.0156,£0.17,£0.18
Product,Free Base,V1000015,None,100% VG Nicotine Shot - VG - 15mg,Unflavoured,£3.59,10,0.03585045,£0.17,£0.20
Product,Free Base,V1000018,None,100% VG Nicotine Shot - VG - 18mg,Unflavoured,£3.99,10,0.03990054,£0.17,£0.21
Product,Free Base,V1000020,None,100% VG Nicotine Shot - VG - 20mg,Unflavoured,£4.26,10,0.0426006,£0.17,£0.21
Product,Free Base,V1000009,None,100% VG Nicotine Shot - VG - 9mg,Unflavoured,£2.78,10,0.02775027,£0.17,£0.19
Product,Free Base,P5000018,None,50/50 Nicotine Shot - PG - 18mg,Unflavoured,£4.75,10,0.04754779,£0.17,£0.21
Product,Free Base,P5000009,None,50/50 Nicotine Shot - PG - 9mg,Unflavoured,£3.54,10,0.03539752,£0.17,£0.20
Product,Free Base,V7072618,None,70% VG Nicotine Salt Shot - VG - 18mg,Unflavoured,£7.31,10,0.073105682,£0.17,£0.24
Product,Free Base,V7072620,None,70% VG Nicotine Salt Shot - VG - 20mg,Unflavoured,£7.83,10,0.07830563,£0.17,£0.24
Product,Free Base,V7000018,None,70% VG Nicotine Shot - VG - 18mg,Unflavoured,£5.06,10,0.05060669,£0.17,£0.22
Product,Free Base,V7067418,Ice,Absolute Zero Nicotine Shot - VG - 18mg,Unflavoured with Koolada,£7.87,10,0.07874454,£0.17,£0.25
Product,Free Base,P7204500,Fruit,Apple - 0mg,Fresh and crisp green apple with sweet-tart undertones,£7.76,10,0.077553515,£0.17,£0.24
Product,Free Base,P7204512,Fruit,Apple - 12mg,Fresh and crisp green apple with sweet-tart undertones,£9.38,10,0.093753875,£0.17,£0.26
Product,Free Base,P7204518,Fruit,Apple - 18mg,Fresh and crisp green apple with sweet-tart undertones,£10.19,10,0.101854055,£0.17,£0.27
Product,Free Base,P7204503,Fruit,Apple - 3mg,Fresh and crisp green apple with sweet-tart undertones,£8.16,10,0.081603605,£0.17,£0.25
Product,Free Base,P7204506,Fruit,Apple - 6mg,Fresh and crisp green apple with sweet-tart undertones,£8.57,10,0.085653695,£0.17,£0.25
Product,Free Base,P7056600,Dessert,Apple Pie & Custard - 0mg,"Warm and buttery apple pie with a hint of cinnamon, topped with a rich and decadent vanilla custard",£14.24,10,0.142358775,£0.17,£0.31
Product,Free Base,P7056612,Dessert,Apple Pie & Custard - 12mg,"Warm and buttery apple pie with a hint of cinnamon, topped with a rich and decadent vanilla custard",£15.86,10,0.158559135,£0.17,£0.32
Product,Free Base,P7056618,Dessert,Apple Pie & Custard - 18mg,"Warm and buttery apple pie with a hint of cinnamon, topped with a rich and decadent vanilla custard",£16.67,10,0.166659315,£0.17,£0.33
Product,Free Base,P7056603,Dessert,Apple Pie & Custard - 3mg,"Warm and buttery apple pie with a hint of cinnamon, topped with a rich and decadent vanilla custard",£14.64,10,0.146408865,£0.17,£0.31
Product,Free Base,P7056606,Dessert,Apple Pie & Custard - 6mg,"Warm and buttery apple pie with a hint of cinnamon, topped with a rich and decadent vanilla custard",£15.05,10,0.150458955,£0.17,£0.32
Product,Free Base,P7056900,Dessert,Apricot Yoghurt - 0mg,Tangy and creamy yoghurt paired with a sweet but tart apricot compote,£3.74,10,0.03737513,£0.17,£0.20
Product,Free Base,P7056912,Dessert,Apricot Yoghurt - 12mg,Tangy and creamy yoghurt paired with a sweet but tart apricot compote,£5.36,10,0.05357549,£0.17,£0.22
Product,Free Base,P7056918,Dessert,Apricot Yoghurt - 18mg,Tangy and creamy yoghurt paired with a sweet but tart apricot compote,£6.17,10,0.06167567,£0.17,£0.23
Product,Free Base,P7056903,Dessert,Apricot Yoghurt - 3mg,Tangy and creamy yoghurt paired with a sweet but tart apricot compote,£4.14,10,0.04142522,£0.17,£0.21
Product,Free Base,P7056906,Dessert,Apricot Yoghurt - 6mg,Tangy and creamy yoghurt paired with a sweet but tart apricot compote,£4.55,10,0.04547531,£0.17,£0.21
Product,Free Base,P7204300,Ice,Banana Ice - 0mg,A combination of sweet and ripe banana with a cooling icy hit,£5.33,10,0.05329922,£0.17,£0.22
Product,Free Base,P7204312,Ice,Banana Ice - 12mg,A combination of sweet and ripe banana with a cooling icy hit,£6.95,10,0.06949958,£0.17,£0.24
Product,Free Base,P7204318,Ice,Banana Ice - 18mg,A combination of sweet and ripe banana with a cooling icy hit,£7.76,10,0.07759976,£0.17,£0.24
Product,Free Base,P7204303,Ice,Banana Ice - 3mg,A combination of sweet and ripe banana with a cooling icy hit,£5.73,10,0.05734931,£0.17,£0.22
Product,Free Base,P7204306,Ice,Banana Ice - 6mg,A combination of sweet and ripe banana with a cooling icy hit,£6.14,10,0.0613994,£0.17,£0.23
Product,Free Base,P7047200,Fruit,Berry Mix - 0mg,"Sweet, sharp and tangy - A well-rounded berry mix.",£10.56,10,0.10558405,£0.17,£0.27
Product,Free Base,P7047212,Fruit,Berry Mix - 12mg,"Sweet, sharp and tangy - A well-rounded berry mix.",£12.18,10,0.12178441,£0.17,£0.29
Product,Free Base,P7047218,Fruit,Berry Mix - 18mg,"Sweet, sharp and tangy - A well-rounded berry mix.",£12.99,10,0.12988459,£0.17,£0.30
Product,Free Base,P7047203,Fruit,Berry Mix - 3mg,"Sweet, sharp and tangy - A well-rounded berry mix.",£10.96,10,0.10963414,£0.17,£0.28
Product,Free Base,P7047206,Fruit,Berry Mix - 6mg,"Sweet, sharp and tangy - A well-rounded berry mix.",£11.37,10,0.11368423,£0.17,£0.28
Product,Free Base,P7047400,Fruit,Black Cherry - 0mg,"Dark, rich and full of authentic black cherry flavour.",£9.41,10,0.09406514,£0.17,£0.26
Product,Free Base,P7047412,Fruit,Black Cherry - 12mg,"Dark, rich and full of authentic black cherry flavour.",£11.03,10,0.1102655,£0.17,£0.28
Product,Free Base,P7047418,Fruit,Black Cherry - 18mg,"Dark, rich and full of authentic black cherry flavour.",£11.84,10,0.11836568,£0.17,£0.28
Product,Free Base,P7047403,Fruit,Black Cherry - 3mg,"Dark, rich and full of authentic black cherry flavour.",£9.81,10,0.09811523,£0.17,£0.26
Product,Free Base,P7047406,Fruit,Black Cherry - 6mg,"Dark, rich and full of authentic black cherry flavour.",£10.22,10,0.10216532,£0.17,£0.27
Product,Free Base,P7047500,Fruit,Blueberry - 0mg,"Sweet, fruity, and refreshing blueberry flavour",£2.80,10,0.027982565,£0.17,£0.19
Product,Free Base,P7047512,Fruit,Blueberry - 12mg,"Sweet, fruity, and refreshing blueberry flavour",£4.42,10,0.044182925,£0.17,£0.21
Product,Free Base,P7047518,Fruit,Blueberry - 18mg,"Sweet, fruity, and refreshing blueberry flavour",£5.23,10,0.052283105,£0.17,£0.22
Product,Free Base,P7047503,Fruit,Blueberry - 3mg,"Sweet, fruity, and refreshing blueberry flavour",£3.20,10,0.032032655,£0.17,£0.20
Product,Free Base,P7047506,Fruit,Blueberry - 6mg,"Sweet, fruity, and refreshing blueberry flavour",£3.61,10,0.036082745,£0.17,£0.20
Product,Free Base,P7204100,Ice,Blueberry Ice - 0mg,"Sweet, fruity, and refreshing blueberry flavour with a menthol kool kick",£4.14,10,0.04139083,£0.17,£0.21
Product,Free Base,P7204112,Ice,Blueberry Ice - 12mg,"Sweet, fruity, and refreshing blueberry flavour with a menthol kool kick",£5.76,10,0.05759119,£0.17,£0.22
Product,Free Base,P7204118,Ice,Blueberry Ice - 18mg,"Sweet, fruity, and refreshing blueberry flavour with a menthol kool kick",£6.57,10,0.06569137,£0.17,£0.23
Product,Free Base,P7204103,Ice,Blueberry Ice - 3mg,"Sweet, fruity, and refreshing blueberry flavour with a menthol kool kick",£4.54,10,0.04544092,£0.17,£0.21
Product,Free Base,P7204106,Ice,Blueberry Ice - 6mg,"Sweet, fruity, and refreshing blueberry flavour with a menthol kool kick",£4.95,10,0.04949101,£0.17,£0.22
Product,Free Base,P7047800,Dessert,Blueberry Muffin - 0mg,Warm cakey flavour with hints of blueberry and cinnamon,£13.90,10,0.1389804,£0.17,£0.31
Product,Free Base,P7047812,Dessert,Blueberry Muffin - 12mg,Warm cakey flavour with hints of blueberry and cinnamon,£15.52,10,0.15518076,£0.17,£0.32
Product,Free Base,P7047818,Dessert,Blueberry Muffin - 18mg,Warm cakey flavour with hints of blueberry and cinnamon,£16.33,10,0.16328094,£0.17,£0.33
Product,Free Base,P7047803,Dessert,Blueberry Muffin - 3mg,Warm cakey flavour with hints of blueberry and cinnamon,£14.30,10,0.14303049,£0.17,£0.31
Product,Free Base,P7047806,Dessert,Blueberry Muffin - 6mg,Warm cakey flavour with hints of blueberry and cinnamon,£14.71,10,0.14708058,£0.17,£0.31
Product,Free Base,P7069000,Candy,Bubblegum - 0mg,"Fruity, bubbly and sweet. The classic sweet shop flavour you know and love!",£2.70,10,0.026981045,£0.17,£0.19
Product,Free Base,P7069012,Candy,Bubblegum - 12mg,"Fruity, bubbly and sweet. The classic sweet shop flavour you know and love!",£4.32,10,0.043181405,£0.17,£0.21
Product,Free Base,P7069018,Candy,Bubblegum - 18mg,"Fruity, bubbly and sweet. The classic sweet shop flavour you know and love!",£5.13,10,0.051281585,£0.17,£0.22
Product,Free Base,P7069003,Candy,Bubblegum - 3mg,"Fruity, bubbly and sweet. The classic sweet shop flavour you know and love!",£3.10,10,0.031031135,£0.17,£0.20
Product,Free Base,P7069006,Candy,Bubblegum - 6mg,"Fruity, bubbly and sweet. The classic sweet shop flavour you know and love!",£3.51,10,0.035081225,£0.17,£0.20
Product,Free Base,P7046800,Ice,Cherry Menthol - 0mg,Dark and sweet black cherry with a kool menthol hit,£8.62,10,0.086225685,£0.17,£0.25
Product,Free Base,P7046812,Ice,Cherry Menthol - 12mg,Dark and sweet black cherry with a kool menthol hit,£10.24,10,0.102426045,£0.17,£0.27
Product,Free Base,P7046818,Ice,Cherry Menthol - 18mg,Dark and sweet black cherry with a kool menthol hit,£11.05,10,0.110526225,£0.17,£0.28
Product,Free Base,P7046803,Ice,Cherry Menthol - 3mg,Dark and sweet black cherry with a kool menthol hit,£9.03,10,0.090275775,£0.17,£0.26
Product,Free Base,P7046806,Ice,Cherry Menthol - 6mg,Dark and sweet black cherry with a kool menthol hit,£9.43,10,0.094325865,£0.17,£0.26
Product,Free Base,P7030600,Tobacco,Gold Leaf - 0mg,"A more complex tobacco flavour with slight floral notes, perfect for all day vaping.",£6.10,10,0.06097507,£0.17,£0.23
Product,Free Base,P7030612,Tobacco,Gold Leaf - 12mg,"A more complex tobacco flavour with slight floral notes, perfect for all day vaping.",£7.72,10,0.07717543,£0.17,£0.24
Product,Free Base,P7030618,Tobacco,Gold Leaf - 18mg,"A more complex tobacco flavour with slight floral notes, perfect for all day vaping.",£8.53,10,0.08527561,£0.17,£0.25
Product,Free Base,P7030603,Tobacco,Gold Leaf - 3mg,"A more complex tobacco flavour with slight floral notes, perfect for all day vaping.",£6.50,10,0.06502516,£0.17,£0.23
Product,Free Base,P7030606,Tobacco,Gold Leaf - 6mg,"A more complex tobacco flavour with slight floral notes, perfect for all day vaping.",£6.91,10,0.06907525,£0.17,£0.24
Product,Free Base,P7047100,Ice,Grape Menthol - 0mg,A perfect harmony of black concord grape and a kooling icy hit,£2.77,10,0.0277045953,£0.17,£0.19
Product,Free Base,P7047112,Ice,Grape Menthol - 12mg,A perfect harmony of black concord grape and a kooling icy hit,£4.39,10,0.0439049553,£0.17,£0.21
Product,Free Base,P7047118,Ice,Grape Menthol - 18mg,A perfect harmony of black concord grape and a kooling icy hit,£5.20,10,0.0520051353,£0.17,£0.22
Product,Free Base,P7047103,Ice,Grape Menthol - 3mg,A perfect harmony of black concord grape and a kooling icy hit,£3.18,10,0.0317546853,£0.17,£0.20
Product,Free Base,P7047106,Ice,Grape Menthol - 6mg,A perfect harmony of black concord grape and a kooling icy hit,£3.58,10,0.0358047753,£0.17,£0.20
Product,Free Base,P7003100,Drink,Green Monster - 0mg,Sweet and tart mixed fruit flavour with a classic NRG tang,£11.82,10,0.11824085,£0.17,£0.28
Product,Free Base,P7003112,Drink,Green Monster - 12mg,Sweet and tart mixed fruit flavour with a classic NRG tang,£13.44,10,0.13444121,£0.17,£0.30
Product,Free Base,P7003118,Drink,Green Monster - 18mg,Sweet and tart mixed fruit flavour with a classic NRG tang,£14.25,10,0.14254139,£0.17,£0.31
Product,Free Base,P7003103,Drink,Green Monster - 3mg,Sweet and tart mixed fruit flavour with a classic NRG tang,£12.23,10,0.12229094,£0.17,£0.29
Product,Free Base,P7003106,Drink,Green Monster - 6mg,Sweet and tart mixed fruit flavour with a classic NRG tang,£12.63,10,0.12634103,£0.17,£0.29
Product,Free Base,P7047900,Candy,Gummy Bears - 0mg,Mixed fruit candy flavour with a gummy edge,£9.70,10,0.097042985,£0.17,£0.26
Product,Free Base,P7047912,Candy,Gummy Bears - 12mg,Mixed fruit candy flavour with a gummy edge,£11.32,10,0.113243345,£0.17,£0.28
Product,Free Base,P7047918,Candy,Gummy Bears - 18mg,Mixed fruit candy flavour with a gummy edge,£12.13,10,0.121343525,£0.17,£0.29
Product,Free Base,P7047903,Candy,Gummy Bears - 3mg,Mixed fruit candy flavour with a gummy edge,£10.11,10,0.101093075,£0.17,£0.27
Product,Free Base,P7047906,Candy,Gummy Bears - 6mg,Mixed fruit candy flavour with a gummy edge,£10.51,10,0.105143165,£0.17,£0.27
Product,Free Base,P7031700,Drink,Jager - 0mg,Jager with a dash of NRG! We promise no hangover.,£11.59,10,0.115880895,£0.17,£0.28
Product,Free Base,P7031712,Drink,Jager - 12mg,Jager with a dash of NRG! We promise no hangover.,£13.21,10,0.132081255,£0.17,£0.30
Product,Free Base,P7031718,Drink,Jager - 18mg,Jager with a dash of NRG! We promise no hangover.,£14.02,10,0.140181435,£0.17,£0.31
Product,Free Base,P7031703,Drink,Jager - 3mg,Jager with a dash of NRG! We promise no hangover.,£11.99,10,0.119930985,£0.17,£0.29
Product,Free Base,P7031706,Drink,Jager - 6mg,Jager with a dash of NRG! We promise no hangover.,£12.40,10,0.123981075,£0.17,£0.29
Product,Free Base,P7225100,Fruit,Lemon & Lime - 0mg,A powerful citrus sensation with plenty of Zing!,£2.75,10,0.02753309,£0.17,£0.19
Product,Free Base,P7225112,Fruit,Lemon & Lime - 12mg,A powerful citrus sensation with plenty of Zing!,£4.37,10,0.04373345,£0.17,£0.21
Product,Free Base,P7225118,Fruit,Lemon & Lime - 18mg,A powerful citrus sensation with plenty of Zing!,£5.18,10,0.05183363,£0.17,£0.22
Product,Free Base,P7225103,Fruit,Lemon & Lime - 3mg,A powerful citrus sensation with plenty of Zing!,£3.16,10,0.03158318,£0.17,£0.20
Product,Free Base,P7225106,Fruit,Lemon & Lime - 6mg,A powerful citrus sensation with plenty of Zing!,£3.56,10,0.03563327,£0.17,£0.20
Product,Free Base,P7031900,Drink,Mango Ice Tea - 0mg,Tropical mango with a cool ice tea base.,£15.07,10,0.15070328,£0.17,£0.32
Product,Free Base,P7031912,Drink,Mango Ice Tea - 12mg,Tropical mango with a cool ice tea base.,£16.69,10,0.16690364,£0.17,£0.33
Product,Free Base,P7031918,Drink,Mango Ice Tea - 18mg,Tropical mango with a cool ice tea base.,£17.50,10,0.17500382,£0.17,£0.34
Product,Free Base,P7031903,Drink,Mango Ice Tea - 3mg,Tropical mango with a cool ice tea base.,£15.48,10,0.15475337,£0.17,£0.32
Product,Free Base,P7031906,Drink,Mango Ice Tea - 6mg,Tropical mango with a cool ice tea base.,£15.88,10,0.15880346,£0.17,£0.33
Product,Free Base,V1072618,None,Max VG Nicotine Salt Shot - VG - 18mg,Unflavoured,£6.24,10,0.062399532,£0.17,£0.23
Product,Free Base,P7031300,Fruit,Melon Mix - 0mg,A delightful melon blend with hints of peach and a dash of cherry,£10.62,10,0.106233075,£0.17,£0.27
Product,Free Base,P7031312,Fruit,Melon Mix - 12mg,A delightful melon blend with hints of peach and a dash of cherry,£12.24,10,0.122433435,£0.17,£0.29
Product,Free Base,P7031318,Fruit,Melon Mix - 18mg,A delightful melon blend with hints of peach and a dash of cherry,£13.05,10,0.130533615,£0.17,£0.30
Product,Free Base,P7031303,Fruit,Melon Mix - 3mg,A delightful melon blend with hints of peach and a dash of cherry,£11.03,10,0.110283165,£0.17,£0.28
Product,Free Base,P7031306,Fruit,Melon Mix - 6mg,A delightful melon blend with hints of peach and a dash of cherry,£11.43,10,0.114333255,£0.17,£0.28
Product,Free Base,P7030700,Mint,Menthol - 0mg,Plain and simple - For the pure menthol enthusiasts.,£3.73,10,0.0373256,£0.17,£0.20
Product,Free Base,P7030712,Mint,Menthol - 12mg,Plain and simple - For the pure menthol enthusiasts.,£5.35,10,0.05352596,£0.17,£0.22
Product,Free Base,P7030718,Mint,Menthol - 18mg,Plain and simple - For the pure menthol enthusiasts.,£6.16,10,0.06162614,£0.17,£0.23
Product,Free Base,P7030703,Mint,Menthol - 3mg,Plain and simple - For the pure menthol enthusiasts.,£4.14,10,0.04137569,£0.17,£0.21
Product,Free Base,P7030706,Mint,Menthol - 6mg,Plain and simple - For the pure menthol enthusiasts.,£4.54,10,0.04542578,£0.17,£0.21
Product,Free Base,P7030900,Mint,Menthol Mint - 0mg,"A perfect balance of menthol, mint candy and spearmint.",£11.65,10,0.11650808,£0.17,£0.28
Product,Free Base,P7030912,Mint,Menthol Mint - 12mg,"A perfect balance of menthol, mint candy and spearmint.",£13.27,10,0.13270844,£0.17,£0.30
Product,Free Base,P7030918,Mint,Menthol Mint - 18mg,"A perfect balance of menthol, mint candy and spearmint.",£14.08,10,0.14080862,£0.17,£0.31
Product,Free Base,P7030903,Mint,Menthol Mint - 3mg,"A perfect balance of menthol, mint candy and spearmint.",£12.06,10,0.12055817,£0.17,£0.29
Product,Free Base,P7030906,Mint,Menthol Mint - 6mg,"A perfect balance of menthol, mint candy and spearmint.",£12.46,10,0.12460826,£0.17,£0.29
Product,Free Base,P7069100,Tobacco,Menthol Tobacco - 0mg,Timeless tobacco flavour mixed with a refreshing menthol.,£2.88,10,0.0287531075,£0.17,£0.20
Product,Free Base,P7069112,Tobacco,Menthol Tobacco - 12mg,Timeless tobacco flavour mixed with a refreshing menthol.,£4.50,10,0.0449534675,£0.17,£0.21
Product,Free Base,P7069118,Tobacco,Menthol Tobacco - 18mg,Timeless tobacco flavour mixed with a refreshing menthol.,£5.31,10,0.0530536475,£0.17,£0.22
Product,Free Base,P7069103,Tobacco,Menthol Tobacco - 3mg,Timeless tobacco flavour mixed with a refreshing menthol.,£3.28,10,0.0328031975,£0.17,£0.20
Product,Free Base,P7069106,Tobacco,Menthol Tobacco - 6mg,Timeless tobacco flavour mixed with a refreshing menthol.,£3.69,10,0.0368532875,£0.17,£0.20
Product,Free Base,P7065900,Candy,Parma Violet - 0mg,"The iconic British sweet, sweet, tart and slightly floral",£3.69,10,0.03691753,£0.17,£0.20
Product,Free Base,P7065912,Candy,Parma Violet - 12mg,"The iconic British sweet, sweet, tart and slightly floral",£5.31,10,0.05311789,£0.17,£0.22
Product,Free Base,P7065918,Candy,Parma Violet - 18mg,"The iconic British sweet, sweet, tart and slightly floral",£6.12,10,0.06121807,£0.17,£0.23
Product,Free Base,P7065903,Candy,Parma Violet - 3mg,"The iconic British sweet, sweet, tart and slightly floral",£4.10,10,0.04096762,£0.17,£0.21
Product,Free Base,P7065906,Candy,Parma Violet - 6mg,"The iconic British sweet, sweet, tart and slightly floral",£4.50,10,0.04501771,£0.17,£0.21
Product,Free Base,P7243400,Fruit,Peach - 0mg,Sweet and fuzzy peach,£3.67,10,0.03673215,£0.17,£0.20
Product,Free Base,P7243412,Fruit,Peach - 12mg,Sweet and fuzzy peach,£5.29,10,0.05293251,£0.17,£0.22
Product,Free Base,P7243418,Fruit,Peach - 18mg,Sweet and fuzzy peach,£6.10,10,0.06103269,£0.17,£0.23
Product,Free Base,P7243403,Fruit,Peach - 3mg,Sweet and fuzzy peach,£4.08,10,0.04078224,£0.17,£0.21
Product,Free Base,P7243406,Fruit,Peach - 6mg,Sweet and fuzzy peach,£4.48,10,0.04483233,£0.17,£0.21
